object_id,content_id,content_id_y,account_id,account_id_y,time_delta,speed_category
https://www.facebook.com/coord_url_001/,1,2,Account01,Account02,12,Very Fast (0-60s)
https://www.facebook.com/coord_url_001/,1,3,Account01,Account03,24,Very Fast (0-60s)
https://www.facebook.com/coord_url_001/,1,4,Account01,Account04,36,Very Fast (0-60s)
https://www.facebook.com/coord_url_001/,1,5,Account01,Account05,48,Very Fast (0-60s)
https://www.facebook.com/coord_url_001/,1,6,Account01,Account06,58,Very Fast (0-60s)
https://www.facebook.com/coord_url_001/,1,7,Account01,Account07,68,Fast (1-5min)
https://www.facebook.com/coord_url_001/,1,8,Account01,Account08,78,Fast (1-5min)
https://www.facebook.com/coord_url_001/,2,3,Account02,Account03,12,Very Fast (0-60s)
https://www.facebook.com/coord_url_001/,2,4,Account02,Account04,24,Very Fast (0-60s)
https://www.facebook.com/coord_url_001/,2,5,Account02,Account05,36,Very Fast (0-60s)
https://www.facebook.com/coord_url_001/,2,6,Account02,Account06,46,Very Fast (0-60s)
https://www.facebook.com/coord_url_001/,2,7,Account02,Account07,56,Very Fast (0-60s)
https://www.facebook.com/coord_url_001/,2,8,Account02,Account08,66,Fast (1-5min)
https://www.facebook.com/coord_url_001/,3,4,Account03,Account04,12,Very Fast (0-60s)
https://www.facebook.com/coord_url_001/,3,5,Account03,Account05,24,Very Fast (0-60s)
https://www.facebook.com/coord_url_001/,3,6,Account03,Account06,34,Very Fast (0-60s)
https://www.facebook.com/coord_url_001/,3,7,Account03,Account07,44,Very Fast (0-60s)
https://www.facebook.com/coord_url_001/,3,8,Account03,Account08,54,Very Fast (0-60s)
https://www.facebook.com/coord_url_001/,4,5,Account04,Account05,12,Very Fast (0-60s)
https://www.facebook.com/coord_url_001/,4,6,Account04,Account06,22,Very Fast (0-60s)
https://www.facebook.com/coord_url_001/,4,7,Account04,Account07,32,Very Fast (0-60s)
https://www.facebook.com/coord_url_001/,4,8,Account04,Account08,42,Very Fast (0-60s)
https://www.facebook.com/coord_url_001/,5,6,Account05,Account06,10,Very Fast (0-60s)
https://www.facebook.com/coord_url_001/,5,7,Account05,Account07,20,Very Fast (0-60s)
