object_id,content_id,content_id_y,account_id,account_id_y,time_delta
facebook.com,1,2,Account01,Account02,12
facebook.com,1,3,Account01,Account03,24
facebook.com,1,4,Account01,Account04,36
facebook.com,1,5,Account01,Account05,48
facebook.com,1,6,Account01,Account06,58
facebook.com,1,7,Account01,Account07,68
facebook.com,1,8,Account01,Account08,78
facebook.com,1,10,Account01,Account02,315
facebook.com,1,11,Account01,Account09,328
facebook.com,1,12,Account01,Account10,340
facebook.com,1,13,Account01,Account11,352
facebook.com,1,14,Account01,Account12,363
facebook.com,1,15,Account01,Account13,375
facebook.com,1,16,Account01,Account03,600
facebook.com,1,17,Account01,Account04,618
facebook.com,1,18,Account01,Account05,632
facebook.com,1,19,Account01,Account14,645
facebook.com,1,20,Account01,Account15,658
facebook.com,1,21,Account01,Account16,670
facebook.com,1,22,Account01,Account17,682
facebook.com,1,23,Account01,Account18,695
facebook.com,1,24,Account01,Account06,900
facebook.com,1,25,Account01,Account07,914
facebook.com,1,26,Account01,Account08,928
facebook.com,1,27,Account01,Account09,942
facebook.com,1,28,Account01,Account10,955
facebook.com,1,29,Account01,Account19,968
facebook.com,1,30,Account01,Account20,980
facebook.com,1,32,Account01,Account03,1210
facebook.com,1,33,Account01,Account05,1220
facebook.com,1,34,Account01,Account07,1230
facebook.com,1,35,Account01,Account09,1240
facebook.com,1,36,Account01,Account11,1250
facebook.com,1,37,Account01,Account13,1260
facebook.com,1,38,Account01,Account15,1270
facebook.com,1,39,Account01,Account17,1280
facebook.com,1,40,Account01,Account19,1290
facebook.com,1,41,Account01,Account02,1500
facebook.com,1,42,Account01,Account04,1512
facebook.com,1,43,Account01,Account06,1524
facebook.com,1,44,Account01,Account08,1536
facebook.com,1,45,Account01,Account10,1548
facebook.com,1,46,Account01,Account12,1560
facebook.com,1,47,Account01,Account14,1572
facebook.com,1,48,Account01,Account16,1584
facebook.com,1,49,Account01,Account18,1596
facebook.com,1,50,Account01,Account20,1608
facebook.com,1,52,Account01,Account02,1808
facebook.com,1,53,Account01,Account03,1816
facebook.com,1,54,Account01,Account04,1824
facebook.com,1,55,Account01,Account05,1832
facebook.com,1,56,Account01,Account06,1840
facebook.com,1,57,Account01,Account07,1848
facebook.com,1,58,Account01,Account08,1856
facebook.com,1,59,Account01,Account09,1864
facebook.com,1,60,Account01,Account10,1872
facebook.com,1,61,Account01,Account11,1880
facebook.com,1,62,Account01,Account12,1888
facebook.com,1,63,Account01,Account11,2100
facebook.com,1,64,Account01,Account12,2114
facebook.com,1,65,Account01,Account13,2128
facebook.com,1,66,Account01,Account14,2142
facebook.com,1,67,Account01,Account15,2156
facebook.com,1,68,Account01,Account16,2170
facebook.com,1,69,Account01,Account17,2184
facebook.com,1,70,Account01,Account18,2198
facebook.com,1,71,Account01,Account19,2212
facebook.com,1,72,Account01,Account20,2226
facebook.com,1,74,Account01,Account05,2415
facebook.com,1,75,Account01,Account09,2430
facebook.com,1,76,Account01,Account13,2445
facebook.com,1,77,Account01,Account17,2460
facebook.com,1,78,Account01,Account02,2475
facebook.com,1,79,Account01,Account06,2490
facebook.com,1,80,Account01,Account10,2505
facebook.com,1,81,Account01,Account03,2700
facebook.com,1,82,Account01,Account07,2712
facebook.com,1,83,Account01,Account11,2724
facebook.com,1,84,Account01,Account15,2736
facebook.com,1,85,Account01,Account19,2748
facebook.com,1,86,Account01,Account04,2760
facebook.com,1,87,Account01,Account08,2772
facebook.com,1,88,Account01,Account12,2784
facebook.com,1,89,Account01,Account16,2796
facebook.com,1,90,Account01,Account20,2808
facebook.com,1,92,Account01,Account06,3018
facebook.com,1,93,Account01,Account11,3036
facebook.com,1,94,Account01,Account16,3054
facebook.com,1,95,Account01,Account02,3072
facebook.com,1,96,Account01,Account07,3090
facebook.com,1,97,Account01,Account12,3108
facebook.com,1,98,Account01,Account17,3126
facebook.com,1,99,Account01,Account03,3300
facebook.com,1,100,Account01,Account04,3310
facebook.com,1,101,Account01,Account05,3320
facebook.com,1,102,Account01,Account06,3330
facebook.com,1,103,Account01,Account07,3340
facebook.com,1,104,Account01,Account08,3350
facebook.com,1,105,Account01,Account09,3360
facebook.com,1,106,Account01,Account10,3370
facebook.com,1,107,Account01,Account11,3380
facebook.com,1,108,Account01,Account12,3390
facebook.com,1,109,Account01,Account13,3400
facebook.com,1,110,Account01,Account14,3410
facebook.com,1,111,Account01,Account15,3420
facebook.com,1,112,Account01,Account16,3430
facebook.com,1,113,Account01,Account17,3440
facebook.com,1,114,Account01,Account18,3450
facebook.com,1,115,Account01,Account19,3460
facebook.com,1,116,Account01,Account20,3470
facebook.com,1,117,Account01,Account08,3600
facebook.com,2,3,Account02,Account03,12
facebook.com,2,4,Account02,Account04,24
facebook.com,2,5,Account02,Account05,36
facebook.com,2,6,Account02,Account06,46
facebook.com,2,7,Account02,Account07,56
facebook.com,2,8,Account02,Account08,66
facebook.com,2,9,Account02,Account01,288
facebook.com,2,11,Account02,Account09,316
facebook.com,2,12,Account02,Account10,328
facebook.com,2,13,Account02,Account11,340
facebook.com,2,14,Account02,Account12,351
facebook.com,2,15,Account02,Account13,363
facebook.com,2,16,Account02,Account03,588
facebook.com,2,17,Account02,Account04,606
facebook.com,2,18,Account02,Account05,620
facebook.com,2,19,Account02,Account14,633
facebook.com,2,20,Account02,Account15,646
facebook.com,2,21,Account02,Account16,658
facebook.com,2,22,Account02,Account17,670
facebook.com,2,23,Account02,Account18,683
facebook.com,2,24,Account02,Account06,888
facebook.com,2,25,Account02,Account07,902
facebook.com,2,26,Account02,Account08,916
facebook.com,2,27,Account02,Account09,930
facebook.com,2,28,Account02,Account10,943
facebook.com,2,29,Account02,Account19,956
facebook.com,2,30,Account02,Account20,968
facebook.com,2,31,Account02,Account01,1188
facebook.com,2,32,Account02,Account03,1198
facebook.com,2,33,Account02,Account05,1208
